SALESORDERID,SALESORDERITEM,PRODUCTID,NETAMOUNT_x,QUANTITY,DELIVERYDATE,PRECIO_UNITARIO,CREATEDBY,CREATEDAT_x,NETAMOUNT_y,PRODUCTCATEGORY,CREATEDAT_y,WEIGHTUNIT,CURRENCY,PRICE,CREATEDAT
500000000,10,MB-1034,2186.62,4,2018-03-11,546.655,4,2018-01-11,11888.62,MB,2018-10-03,KG,USD,2499,2018-10-03
500000000,20,CB-1161,349.12,9,2018-03-11,38.791111111111114,4,2018-01-11,11888.62,CB,2018-10-03,KG,USD,399,2018-10-03
500000001,10,HB-1175,786.62,2,2018-02-28,393.31,2,2018-01-12,11044.25,HB,2018-10-03,KG,USD,899,2018-10-03
500000001,20,RC-1056,2186.62,2,2018-02-28,1093.31,2,2018-01-12,11044.25,RC,2018-10-03,KG,USD,2499,2018-10-03
500000001,30,CC-1021,1001.0,3,2018-02-28,333.6666666666667,2,2018-01-12,11044.25,CC,2018-10-03,KG,USD,1144,2018-10-03
500000001,40,CB-1161,349.12,6,2018-02-28,58.18666666666667,2,2018-01-12,11044.25,CB,2018-10-03,KG,USD,399,2018-10-03
500000002,10,HB-1175,786.62,6,2018-03-09,131.10333333333332,5,2018-01-15,39948.12,HB,2018-10-03,KG,USD,899,2018-10-03
500000002,20,RC-1055,1749.12,3,2018-03-09,583.04,5,2018-01-15,39948.12,RC,2018-10-03,KG,USD,1999,2018-10-03
500000002,30,DB-1081,1311.62,3,2018-03-09,437.20666666666665,5,2018-01-15,39948.12,DB,2018-10-03,KG,USD,1499,2018-10-03
500000002,40,EB-1133,1968.75,10,2018-03-09,196.875,5,2018-01-15,39948.12,EB,2018-10-03,KG,USD,2250,2018-10-03
500000002,50,BX-1015,261.62,9,2018-03-09,29.06888888888889,5,2018-01-15,39948.12,BX,2018-10-03,KG,USD,299,2018-10-03
500000002,60,CC-1021,1001.0,4,2018-03-09,250.25,5,2018-01-15,39948.12,CC,2018-10-03,KG,USD,1144,2018-10-03
500000003,10,RC-1056,2186.62,3,2018-02-23,728.8733333333333,3,2018-01-15,89062.75,RC,2018-10-03,KG,USD,2499,2018-10-03
500000003,20,BX-1013,392.88,2,2018-02-23,196.44,3,2018-01-15,89062.75,BX,2018-10-03,KG,USD,449,2018-10-03
500000003,30,RC-1056,2186.62,5,2018-02-23,437.32399999999996,3,2018-01-15,89062.75,RC,2018-10-03,KG,USD,2499,2018-10-03
500000003,40,CB-1161,349.12,1,2018-02-23,349.12,3,2018-01-15,89062.75,CB,2018-10-03,KG,USD,399,2018-10-03
500000003,50,EB-1131,1312.5,10,2018-02-23,131.25,3,2018-01-15,89062.75,EB,2018-10-03,KG,USD,1500,2018-10-03
500000003,60,MB-1034,2186.62,3,2018-02-23,728.8733333333333,3,2018-01-15,89062.75,MB,2018-10-03,KG,USD,2499,2018-10-03
500000003,70,DB-1082,1093.75,8,2018-02-23,136.71875,3,2018-01-15,89062.75,DB,2018-10-03,KG,USD,1250,2018-10-03
500000003,80,EB-1134,4200.0,10,2018-02-23,420.0,3,2018-01-15,89062.75,EB,2018-10-03,KG,USD,4800,2018-10-03
500000004,10,BX-1014,699.12,3,2018-03-05,233.04,8,2018-01-16,62723.5,BX,2018-10-03,KG,USD,799,2018-10-03
500000004,20,EB-1134,4200.0,2,2018-03-05,2100.0,8,2018-01-16,62723.5,EB,2018-10-03,KG,USD,4800,2018-10-03
500000004,30,CB-1163,252.0,8,2018-03-05,31.5,8,2018-01-16,62723.5,CB,2018-10-03,KG,USD,288,2018-10-03
500000004,40,BX-1013,392.88,6,2018-03-05,65.48,8,2018-01-16,62723.5,BX,2018-10-03,KG,USD,449,2018-10-03
500000004,50,MB-1034,2186.62,10,2018-03-05,218.66199999999998,8,2018-01-16,62723.5,MB,2018-10-03,KG,USD,2499,2018-10-03
500000004,60,MB-1031,567.88,2,2018-03-05,283.94,8,2018-01-16,62723.5,MB,2018-10-03,KG,USD,649,2018-10-03
500000004,70,RC-1051,2186.62,10,2018-03-05,218.66199999999998,8,2018-01-16,62723.5,RC,2018-10-03,KG,USD,2499,2018-10-03
500000004,80,HB-1174,331.62,9,2018-03-05,36.846666666666664,8,2018-01-16,62723.5,HB,2018-10-03,KG,USD,379,2018-10-03
500000005,10,RC-1054,4811.62,10,2018-03-01,481.162,8,2018-01-16,91186.38,RC,2018-10-03,KG,USD,5499,2018-10-03
500000005,20,CC-1021,1001.0,3,2018-03-01,333.6666666666667,8,2018-01-16,91186.38,CC,2018-10-03,KG,USD,1144,2018-10-03
500000005,30,RC-1052,3499.12,9,2018-03-01,388.7911111111111,8,2018-01-16,91186.38,RC,2018-10-03,KG,USD,3999,2018-10-03
500000005,40,BX-1011,217.88,10,2018-03-01,21.788,8,2018-01-16,91186.38,BX,2018-10-03,KG,USD,249,2018-10-03
500000005,50,HB-1175,786.62,2,2018-03-01,393.31,8,2018-01-16,91186.38,HB,2018-10-03,KG,USD,899,2018-10-03
500000005,60,RO-1002,602.88,8,2018-03-01,75.36,8,2018-01-16,91186.38,RO,2018-10-03,KG,USD,689,2018-10-03
500000006,10,EB-1137,6912.5,5,2018-03-14,1382.5,3,2018-01-17,152238.62,EB,2018-10-03,KG,USD,7900,2018-10-03
500000006,20,CB-1163,252.0,8,2018-03-14,31.5,3,2018-01-17,152238.62,CB,2018-10-03,KG,USD,288,2018-10-03
500000006,30,EB-1134,4200.0,7,2018-03-14,600.0,3,2018-01-17,152238.62,EB,2018-10-03,KG,USD,4800,2018-10-03
500000006,40,HB-1176,1049.12,3,2018-03-14,349.70666666666665,3,2018-01-17,152238.62,HB,2018-10-03,KG,USD,1199,2018-10-03
500000006,50,RC-1052,3499.12,6,2018-03-14,583.1866666666666,3,2018-01-17,152238.62,RC,2018-10-03,KG,USD,3999,2018-10-03
500000006,60,EB-1135,2625.0,9,2018-03-14,291.6666666666667,3,2018-01-17,152238.62,EB,2018-10-03,KG,USD,3000,2018-10-03
500000006,70,RC-1054,4811.62,8,2018-03-14,601.4525,3,2018-01-17,152238.62,RC,2018-10-03,KG,USD,5499,2018-10-03
500000007,10,HB-1171,611.62,2,2018-03-08,305.81,4,2018-01-19,1223.25,HB,2018-10-03,KG,USD,699,2018-10-03
500000008,10,EB-1137,6912.5,10,2018-02-25,691.25,3,2018-01-20,111827.62,EB,2018-10-03,KG,USD,7900,2018-10-03
500000008,20,CC-1022,1050.0,6,2018-02-25,175.0,3,2018-01-20,111827.62,CC,2018-10-03,KG,USD,1200,2018-10-03
500000008,30,CC-1023,1190.88,10,2018-02-25,119.08800000000001,3,2018-01-20,111827.62,CC,2018-10-03,KG,USD,1361,2018-10-03
500000008,40,RC-1052,3499.12,7,2018-02-25,499.8742857142857,3,2018-01-20,111827.62,RC,2018-10-03,KG,USD,3999,2018-10-03
500000009,10,BX-1014,699.12,9,2018-03-09,77.68,4,2018-01-21,69213.38,BX,2018-10-03,KG,USD,799,2018-10-03
500000009,20,EB-1131,1312.5,3,2018-03-09,437.5,4,2018-01-21,69213.38,EB,2018-10-03,KG,USD,1500,2018-10-03
500000009,30,EB-1135,2625.0,7,2018-03-09,375.0,4,2018-01-21,69213.38,EB,2018-10-03,KG,USD,3000,2018-10-03
500000009,40,CC-1021,1001.0,1,2018-03-09,1001.0,4,2018-01-21,69213.38,CC,2018-10-03,KG,USD,1144,2018-10-03
500000009,50,EB-1135,2625.0,6,2018-03-09,437.5,4,2018-01-21,69213.38,EB,2018-10-03,KG,USD,3000,2018-10-03
500000009,60,BX-1013,392.88,10,2018-03-09,39.288,4,2018-01-21,69213.38,BX,2018-10-03,KG,USD,449,2018-10-03
500000009,70,DB-1081,1311.62,10,2018-03-09,131.16199999999998,4,2018-01-21,69213.38,DB,2018-10-03,KG,USD,1499,2018-10-03
500000009,80,CB-1161,349.12,8,2018-03-09,43.64,4,2018-01-21,69213.38,CB,2018-10-03,KG,USD,399,2018-10-03
500000009,90,HB-1171,611.62,4,2018-03-09,152.905,4,2018-01-21,69213.38,HB,2018-10-03,KG,USD,699,2018-10-03
500000009,100,HB-1175,786.62,2,2018-03-09,393.31,4,2018-01-21,69213.38,HB,2018-10-03,KG,USD,899,2018-10-03
500000010,10,RO-1002,602.88,10,2018-03-23,60.288,1,2018-01-24,9031.75,RO,2018-10-03,KG,USD,689,2018-10-03
500000010,20,CC-1021,1001.0,3,2018-03-23,333.6666666666667,1,2018-01-24,9031.75,CC,2018-10-03,KG,USD,1144,2018-10-03
500000011,10,MB-1032,1136.62,8,2018-03-22,142.0775,4,2018-01-27,86993.38,MB,2018-10-03,KG,USD,1299,2018-10-03
500000011,20,RO-1001,459.38,3,2018-03-22,153.12666666666667,4,2018-01-27,86993.38,RO,2018-10-03,KG,USD,525,2018-10-03
500000011,30,MB-1031,567.88,5,2018-03-22,113.576,4,2018-01-27,86993.38,MB,2018-10-03,KG,USD,649,2018-10-03
500000011,40,BX-1016,279.12,1,2018-03-22,279.12,4,2018-01-27,86993.38,BX,2018-10-03,KG,USD,319,2018-10-03
500000011,50,EB-1132,1662.5,1,2018-03-22,1662.5,4,2018-01-27,86993.38,EB,2018-10-03,KG,USD,1900,2018-10-03
500000011,60,EB-1135,2625.0,9,2018-03-22,291.6666666666667,4,2018-01-27,86993.38,EB,2018-10-03,KG,USD,3000,2018-10-03
500000011,70,RC-1054,4811.62,10,2018-03-22,481.162,4,2018-01-27,86993.38,RC,2018-10-03,KG,USD,5499,2018-10-03
500000012,10,HB-1176,1049.12,9,2018-03-17,116.56888888888888,4,2018-01-30,13676.25,HB,2018-10-03,KG,USD,1199,2018-10-03
500000012,20,CB-1161,349.12,2,2018-03-17,174.56,4,2018-01-30,13676.25,CB,2018-10-03,KG,USD,399,2018-10-03
500000012,30,BX-1013,392.88,9,2018-03-17,43.653333333333336,4,2018-01-30,13676.25,BX,2018-10-03,KG,USD,449,2018-10-03
500000013,10,RO-1001,459.38,3,2018-03-21,153.12666666666667,11,2018-02-02,61391.75,RO,2018-10-03,KG,USD,525,2018-10-03
500000013,20,BX-1015,261.62,7,2018-03-21,37.37428571428571,11,2018-02-02,61391.75,BX,2018-10-03,KG,USD,299,2018-10-03
500000013,30,RC-1055,1749.12,8,2018-03-21,218.64,11,2018-02-02,61391.75,RC,2018-10-03,KG,USD,1999,2018-10-03
500000013,40,RO-1001,459.38,5,2018-03-21,91.876,11,2018-02-02,61391.75,RO,2018-10-03,KG,USD,525,2018-10-03
500000013,50,CC-1023,1190.88,3,2018-03-21,396.96000000000004,11,2018-02-02,61391.75,CC,2018-10-03,KG,USD,1361,2018-10-03
500000013,60,EB-1133,1968.75,8,2018-03-21,246.09375,11,2018-02-02,61391.75,EB,2018-10-03,KG,USD,2250,2018-10-03
500000013,70,CC-1022,1050.0,9,2018-03-21,116.66666666666667,11,2018-02-02,61391.75,CC,2018-10-03,KG,USD,1200,2018-10-03
500000013,80,RC-1051,2186.62,6,2018-03-21,364.43666666666667,11,2018-02-02,61391.75,RC,2018-10-03,KG,USD,2499,2018-10-03
500000014,10,CB-1161,349.12,3,2018-03-15,116.37333333333333,11,2018-02-03,28642.25,CB,2018-10-03,KG,USD,399,2018-10-03
500000014,20,DB-1082,1093.75,4,2018-03-15,273.4375,11,2018-02-03,28642.25,DB,2018-10-03,KG,USD,1250,2018-10-03
500000014,30,DB-1081,1311.62,10,2018-03-15,131.16199999999998,11,2018-02-03,28642.25,DB,2018-10-03,KG,USD,1499,2018-10-03
500000014,40,BX-1011,217.88,3,2018-03-15,72.62666666666667,11,2018-02-03,28642.25,BX,2018-10-03,KG,USD,249,2018-10-03
500000014,50,CC-1022,1050.0,7,2018-03-15,150.0,11,2018-02-03,28642.25,CC,2018-10-03,KG,USD,1200,2018-10-03
500000014,60,CB-1162,350.0,6,2018-03-15,58.333333333333336,11,2018-02-03,28642.25,CB,2018-10-03,KG,USD,400,2018-10-03
500000015,10,DB-1083,1049.12,2,2018-04-03,524.56,10,2018-02-04,18544.75,DB,2018-10-03,KG,USD,1199,2018-10-03
500000015,20,CB-1162,350.0,7,2018-04-03,50.0,10,2018-02-04,18544.75,CB,2018-10-03,KG,USD,400,2018-10-03
500000015,30,MB-1033,3499.12,4,2018-04-03,874.78,10,2018-02-04,18544.75,MB,2018-10-03,KG,USD,3999,2018-10-03
500000016,10,RC-1052,3499.12,4,2018-03-07,874.78,8,2018-02-05,35604.62,RC,2018-10-03,KG,USD,3999,2018-10-03
500000016,20,BX-1012,349.12,1,2018-03-07,349.12,8,2018-02-05,35604.62,BX,2018-10-03,KG,USD,399,2018-10-03
500000016,30,RC-1052,3499.12,4,2018-03-07,874.78,8,2018-02-05,35604.62,RC,2018-10-03,KG,USD,3999,2018-10-03
500000016,40,EB-1133,1968.75,2,2018-03-07,984.375,8,2018-02-05,35604.62,EB,2018-10-03,KG,USD,2250,2018-10-03
500000016,50,EB-1132,1662.5,2,2018-03-07,831.25,8,2018-02-05,35604.62,EB,2018-10-03,KG,USD,1900,2018-10-03
500000017,10,RC-1057,4374.12,1,2018-03-05,4374.12,13,2018-02-06,65824.5,RC,2018-10-03,KG,USD,4999,2018-10-03
500000017,20,DB-1083,1049.12,4,2018-03-05,262.28,13,2018-02-06,65824.5,DB,2018-10-03,KG,USD,1199,2018-10-03
500000017,30,RC-1053,4024.12,1,2018-03-05,4024.12,13,2018-02-06,65824.5,RC,2018-10-03,KG,USD,4599,2018-10-03
500000017,40,DB-1081,1311.62,7,2018-03-05,187.3742857142857,13,2018-02-06,65824.5,DB,2018-10-03,KG,USD,1499,2018-10-03
500000017,50,BX-1011,217.88,1,2018-03-05,217.88,13,2018-02-06,65824.5,BX,2018-10-03,KG,USD,249,2018-10-03
500000017,60,EB-1132,1662.5,1,2018-03-05,1662.5,13,2018-02-06,65824.5,EB,2018-10-03,KG,USD,1900,2018-10-03
500000017,70,RO-1001,459.38,8,2018-03-05,57.4225,13,2018-02-06,65824.5,RO,2018-10-03,KG,USD,525,2018-10-03
500000017,80,RC-1054,4811.62,8,2018-03-05,601.4525,13,2018-02-06,65824.5,RC,2018-10-03,KG,USD,5499,2018-10-03
500000018,10,BX-1016,279.12,9,2018-03-28,31.013333333333335,1,2018-02-06,2512.12,BX,2018-10-03,KG,USD,319,2018-10-03
500000019,10,DB-1082,1093.75,10,2018-04-01,109.375,12,2018-02-07,24075.62,DB,2018-10-03,KG,USD,1250,2018-10-03
500000019,20,RO-1001,459.38,5,2018-04-01,91.876,12,2018-02-07,24075.62,RO,2018-10-03,KG,USD,525,2018-10-03
500000019,30,DB-1083,1049.12,10,2018-04-01,104.91199999999999,12,2018-02-07,24075.62,DB,2018-10-03,KG,USD,1199,2018-10-03
500000019,40,CB-1162,350.0,1,2018-04-01,350.0,12,2018-02-07,24075.62,CB,2018-10-03,KG,USD,400,2018-10-03
500000020,10,CC-1023,1190.88,8,2018-03-22,148.86,11,2018-02-09,50645.0,CC,2018-10-03,KG,USD,1361,2018-10-03
500000020,20,EB-1136,4375.0,3,2018-03-22,1458.3333333333333,11,2018-02-09,50645.0,EB,2018-10-03,KG,USD,5000,2018-10-03
500000020,30,MB-1033,3499.12,8,2018-03-22,437.39,11,2018-02-09,50645.0,MB,2018-10-03,KG,USD,3999,2018-10-03
500000021,10,HB-1174,331.62,1,2018-04-11,331.62,7,2018-02-09,331.62,HB,2018-10-03,KG,USD,379,2018-10-03
500000022,10,EB-1132,1662.5,3,2018-03-30,554.1666666666666,3,2018-02-10,6081.25,EB,2018-10-03,KG,USD,1900,2018-10-03
500000022,20,DB-1082,1093.75,1,2018-03-30,1093.75,3,2018-02-10,6081.25,DB,2018-10-03,KG,USD,1250,2018-10-03
500000023,10,CB-1163,252.0,5,2018-03-23,50.4,3,2018-02-13,75082.0,CB,2018-10-03,KG,USD,288,2018-10-03
500000023,20,HB-1176,1049.12,8,2018-03-23,131.14,3,2018-02-13,75082.0,HB,2018-10-03,KG,USD,1199,2018-10-03
