SALESORDERID,SALESORDERITEM,PRODUCTID,NETAMOUNT,QUANTITY,DELIVERYDATE,PRECIO_UNITARIO
500000000,10,MB-1034,2186.62,4,2018-03-11,546.655
500000000,20,CB-1161,349.12,9,2018-03-11,38.791111111111114
500000001,10,HB-1175,786.62,2,2018-02-28,393.31
500000001,20,RC-1056,2186.62,2,2018-02-28,1093.31
500000001,30,CC-1021,1001.0,3,2018-02-28,333.6666666666667
500000001,40,CB-1161,349.12,6,2018-02-28,58.18666666666667
500000002,10,HB-1175,786.62,6,2018-03-09,131.10333333333332
500000002,20,RC-1055,1749.12,3,2018-03-09,583.04
500000002,30,DB-1081,1311.62,3,2018-03-09,437.20666666666665
500000002,40,EB-1133,1968.75,10,2018-03-09,196.875
500000002,50,BX-1015,261.62,9,2018-03-09,29.06888888888889
500000002,60,CC-1021,1001.0,4,2018-03-09,250.25
500000003,10,RC-1056,2186.62,3,2018-02-23,728.8733333333333
500000003,20,BX-1013,392.88,2,2018-02-23,196.44
500000003,30,RC-1056,2186.62,5,2018-02-23,437.32399999999996
500000003,40,CB-1161,349.12,1,2018-02-23,349.12
500000003,50,EB-1131,1312.5,10,2018-02-23,131.25
500000003,60,MB-1034,2186.62,3,2018-02-23,728.8733333333333
500000003,70,DB-1082,1093.75,8,2018-02-23,136.71875
500000003,80,EB-1134,4200.0,10,2018-02-23,420.0
500000004,10,BX-1014,699.12,3,2018-03-05,233.04
500000004,20,EB-1134,4200.0,2,2018-03-05,2100.0
500000004,30,CB-1163,252.0,8,2018-03-05,31.5
500000004,40,BX-1013,392.88,6,2018-03-05,65.48
500000004,50,MB-1034,2186.62,10,2018-03-05,218.66199999999998
500000004,60,MB-1031,567.88,2,2018-03-05,283.94
500000004,70,RC-1051,2186.62,10,2018-03-05,218.66199999999998
500000004,80,HB-1174,331.62,9,2018-03-05,36.846666666666664
500000005,10,RC-1054,4811.62,10,2018-03-01,481.162
500000005,20,CC-1021,1001.0,3,2018-03-01,333.6666666666667
500000005,30,RC-1052,3499.12,9,2018-03-01,388.7911111111111
500000005,40,BX-1011,217.88,10,2018-03-01,21.788
500000005,50,HB-1175,786.62,2,2018-03-01,393.31
500000005,60,RO-1002,602.88,8,2018-03-01,75.36
500000006,10,EB-1137,6912.5,5,2018-03-14,1382.5
500000006,20,CB-1163,252.0,8,2018-03-14,31.5
500000006,30,EB-1134,4200.0,7,2018-03-14,600.0
500000006,40,HB-1176,1049.12,3,2018-03-14,349.70666666666665
500000006,50,RC-1052,3499.12,6,2018-03-14,583.1866666666666
500000006,60,EB-1135,2625.0,9,2018-03-14,291.6666666666667
500000006,70,RC-1054,4811.62,8,2018-03-14,601.4525
500000007,10,HB-1171,611.62,2,2018-03-08,305.81
500000008,10,EB-1137,6912.5,10,2018-02-25,691.25
500000008,20,CC-1022,1050.0,6,2018-02-25,175.0
500000008,30,CC-1023,1190.88,10,2018-02-25,119.08800000000001
500000008,40,RC-1052,3499.12,7,2018-02-25,499.8742857142857
500000009,10,BX-1014,699.12,9,2018-03-09,77.68
500000009,20,EB-1131,1312.5,3,2018-03-09,437.5
500000009,30,EB-1135,2625.0,7,2018-03-09,375.0
500000009,40,CC-1021,1001.0,1,2018-03-09,1001.0
500000009,50,EB-1135,2625.0,6,2018-03-09,437.5
500000009,60,BX-1013,392.88,10,2018-03-09,39.288
500000009,70,DB-1081,1311.62,10,2018-03-09,131.16199999999998
500000009,80,CB-1161,349.12,8,2018-03-09,43.64
500000009,90,HB-1171,611.62,4,2018-03-09,152.905
500000009,100,HB-1175,786.62,2,2018-03-09,393.31
500000010,10,RO-1002,602.88,10,2018-03-23,60.288
500000010,20,CC-1021,1001.0,3,2018-03-23,333.6666666666667
500000011,10,MB-1032,1136.62,8,2018-03-22,142.0775
500000011,20,RO-1001,459.38,3,2018-03-22,153.12666666666667
500000011,30,MB-1031,567.88,5,2018-03-22,113.576
500000011,40,BX-1016,279.12,1,2018-03-22,279.12
500000011,50,EB-1132,1662.5,1,2018-03-22,1662.5
500000011,60,EB-1135,2625.0,9,2018-03-22,291.6666666666667
500000011,70,RC-1054,4811.62,10,2018-03-22,481.162
500000012,10,HB-1176,1049.12,9,2018-03-17,116.56888888888888
500000012,20,CB-1161,349.12,2,2018-03-17,174.56
500000012,30,BX-1013,392.88,9,2018-03-17,43.653333333333336
500000013,10,RO-1001,459.38,3,2018-03-21,153.12666666666667
500000013,20,BX-1015,261.62,7,2018-03-21,37.37428571428571
500000013,30,RC-1055,1749.12,8,2018-03-21,218.64
500000013,40,RO-1001,459.38,5,2018-03-21,91.876
500000013,50,CC-1023,1190.88,3,2018-03-21,396.96000000000004
500000013,60,EB-1133,1968.75,8,2018-03-21,246.09375
500000013,70,CC-1022,1050.0,9,2018-03-21,116.66666666666667
500000013,80,RC-1051,2186.62,6,2018-03-21,364.43666666666667
500000014,10,CB-1161,349.12,3,2018-03-15,116.37333333333333
500000014,20,DB-1082,1093.75,4,2018-03-15,273.4375
500000014,30,DB-1081,1311.62,10,2018-03-15,131.16199999999998
500000014,40,BX-1011,217.88,3,2018-03-15,72.62666666666667
500000014,50,CC-1022,1050.0,7,2018-03-15,150.0
500000014,60,CB-1162,350.0,6,2018-03-15,58.333333333333336
500000015,10,DB-1083,1049.12,2,2018-04-03,524.56
500000015,20,CB-1162,350.0,7,2018-04-03,50.0
500000015,30,MB-1033,3499.12,4,2018-04-03,874.78
500000016,10,RC-1052,3499.12,4,2018-03-07,874.78
500000016,20,BX-1012,349.12,1,2018-03-07,349.12
500000016,30,RC-1052,3499.12,4,2018-03-07,874.78
500000016,40,EB-1133,1968.75,2,2018-03-07,984.375
500000016,50,EB-1132,1662.5,2,2018-03-07,831.25
500000017,10,RC-1057,4374.12,1,2018-03-05,4374.12
500000017,20,DB-1083,1049.12,4,2018-03-05,262.28
500000017,30,RC-1053,4024.12,1,2018-03-05,4024.12
500000017,40,DB-1081,1311.62,7,2018-03-05,187.3742857142857
500000017,50,BX-1011,217.88,1,2018-03-05,217.88
500000017,60,EB-1132,1662.5,1,2018-03-05,1662.5
500000017,70,RO-1001,459.38,8,2018-03-05,57.4225
500000017,80,RC-1054,4811.62,8,2018-03-05,601.4525
500000018,10,BX-1016,279.12,9,2018-03-28,31.013333333333335
500000019,10,DB-1082,1093.75,10,2018-04-01,109.375
500000019,20,RO-1001,459.38,5,2018-04-01,91.876
500000019,30,DB-1083,1049.12,10,2018-04-01,104.91199999999999
500000019,40,CB-1162,350.0,1,2018-04-01,350.0
500000020,10,CC-1023,1190.88,8,2018-03-22,148.86
500000020,20,EB-1136,4375.0,3,2018-03-22,1458.3333333333333
500000020,30,MB-1033,3499.12,8,2018-03-22,437.39
500000021,10,HB-1174,331.62,1,2018-04-11,331.62
500000022,10,EB-1132,1662.5,3,2018-03-30,554.1666666666666
500000022,20,DB-1082,1093.75,1,2018-03-30,1093.75
500000023,10,CB-1163,252.0,5,2018-03-23,50.4
500000023,20,HB-1176,1049.12,8,2018-03-23,131.14
500000023,30,RC-1053,4024.12,6,2018-03-23,670.6866666666666
500000023,40,DB-1083,1049.12,10,2018-03-23,104.91199999999999
500000023,50,EB-1132,1662.5,8,2018-03-23,207.8125
500000023,60,RC-1051,2186.62,8,2018-03-23,273.3275
500000024,10,HB-1172,699.12,2,2018-04-02,349.56
500000024,20,CC-1023,1190.88,10,2018-04-02,119.08800000000001
500000024,30,BX-1013,392.88,5,2018-04-02,78.576
500000024,40,CC-1021,1001.0,4,2018-04-02,250.25
500000024,50,RC-1056,2186.62,5,2018-04-02,437.32399999999996
500000024,60,EB-1135,2625.0,2,2018-04-02,1312.5
500000024,70,CC-1023,1190.88,10,2018-04-02,119.08800000000001
500000024,80,CC-1022,1050.0,9,2018-04-02,116.66666666666667
500000024,90,CC-1023,1190.88,4,2018-04-02,297.72
500000024,100,MB-1034,2186.62,10,2018-04-02,218.66199999999998
500000025,10,RC-1056,2186.62,10,2018-03-25,218.66199999999998
500000025,20,HB-1173,567.88,8,2018-03-25,70.985
500000025,30,RO-1003,630.88,5,2018-03-25,126.176
