PRODUCTID,PRICE_UNITARIO,ANIO,INGRESO_TOTAL,PRODCATEGORYID,SEMANA,DIA_SEMANA_Monday,DIA_SEMANA_Saturday,DIA_SEMANA_Sunday,DIA_SEMANA_Thursday,DIA_SEMANA_Tuesday,DIA_SEMANA_Wednesday,MES_10,MES_11,MES_12,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,SHORT_DESCR_CAT_Cruiser,SHORT_DESCR_CAT_Cyclo-cross Bike,SHORT_DESCR_CAT_Downhill Bike,SHORT_DESCR_CAT_Hybrid Bike,SHORT_DESCR_CAT_Mountain Bike,SHORT_DESCR_CAT_Racing Bike,SHORT_DESCR_CAT_Road Bike,SHORT_DESCR_CAT_eBike,DIA_SIN,DIA_COS,MES_SIN,MES_COS,DIA_ANIO_SIN,DIA_ANIO_COS,REAL_QUANTITY,PREDICTED_QUANTITY,ERROR_ABSOLUTO
EB-1137,3.262144922792962,2019,2.902246885816283,EB,2019-04-08,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.48530196253108104,-0.8743466161445821,0.8660254037844387,-0.4999999999999998,0.9796136916454901,-0.20089055513063506,0.1631166350173539,0.38925952,0.22614288217548667
RC-1054,1.955063626853865,2018,1.3329654164451543,RC,2018-10-15,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.10116832198743204,-0.9948693233918952,-0.8660254037844386,0.5000000000000001,-0.965739937654855,0.25951179706979943,-0.183847177260362,0.038118917,0.2219660947553743
RO-1002,-0.6634540880428678,2018,-0.5087821045786551,RO,2018-06-11,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,-0.2993631229733582,-0.9541392564000488,1.2246467991473532e-16,-1.0,0.24702218048093552,-0.9690098257244062,0.1631166350173539,0.3408869,0.1777702558708602
RO-1002,-0.6634540880428678,2019,-0.5087821045786551,RO,2019-01-21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.9987165071710528,-0.05064916883871355,0.49999999999999994,0.8660254037844387,0.38566340624360707,0.9226395488404876,0.1631166350173539,0.3402312,0.17711457497600852
RO-1002,-0.6634540880428678,2019,-0.5087821045786551,RO,2019-05-20,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,-0.9884683243281114,0.15142777750457667,0.49999999999999994,-0.8660254037844387,0.6152845999633276,-0.7883050558305255,0.1631166350173539,0.33856916,0.17545252925876914
EB-1137,3.262144922792962,2018,4.14789608029324,EB,2018-10-01,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.9884683243281114,0.1514277775045767,-0.8660254037844386,0.5000000000000001,-0.994217906893952,0.10738134666416306,0.857044259572786,1.0309695,0.17392524096890105
HB-1175,-0.5491321088062121,2019,-0.4803213856415551,HB,2019-01-14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.29936312297335804,-0.9541392564000488,0.49999999999999994,0.8660254037844387,0.2386727660059501,0.9711000518829505,-0.183847177260362,-0.34779254,0.16394535875991692
EB-1137,3.262144922792962,2018,3.5250714830547616,EB,2018-12-03,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.8486442574947509,0.5289640103269624,-2.4492935982947064e-16,1.0,-0.4327755925504317,0.9015016841318838,0.51008044729507,0.6557052,0.14562476625168297
EB-1135,0.5946320739376624,2018,1.5304560007593808,EB,2018-08-20,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,-0.9680771188662041,-0.2506525322587213,-0.8660254037844385,-0.5000000000000004,-0.7748840413670406,-0.6321034111873488,1.5509718841282178,1.4248679,0.12610401570475593
MB-1031,-0.6852297031355641,2019,-0.3230384651996861,MB,2019-07-08,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9680771188662043,-0.2506525322587204,-0.4999999999999997,-0.8660254037844388,-0.12874817745258066,-0.99167731989929,1.5509718841282178,1.4678267,0.08314516007578865
MB-1031,-0.6852297031355641,2019,-0.3230384651996861,MB,2019-04-22,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.72479278722912,0.6889669190756865,0.8660254037844387,-0.4999999999999998,0.9033558023246845,-0.4288919379124835,1.5509718841282178,1.4694862,0.08148564755595222
HB-1175,-0.5491321088062121,2018,-0.5511972480361617,HB,2018-11-12,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,-0.7354170229639858,0.6776147890466887,-0.530810989538078,-0.61137253,0.08056154092227963
RC-1053,1.465112287268198,2019,1.703348955410518,RC,2019-03-25,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.72479278722912,0.6889669190756865,1.0,6.123233995736766e-17,0.995918996147179,0.09025161003104117,0.51008044729507,0.43107498,0.07900547037398842
RC-1053,1.465112287268198,2018,2.0659274772712477,RC,2018-09-17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.7907757369376986,-0.6121059825476627,-1.0,-1.8369701987210297e-16,-0.9829265519799822,-0.18399835165767986,0.857044259572786,0.93303674,0.07599248502178801
EB-1131,-0.2219534920384497,2018,0.1113619817349994,EB,2018-10-01,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.9884683243281114,0.1514277775045767,-0.8660254037844386,0.5000000000000001,-0.994217906893952,0.10738134666416306,0.857044259572786,0.7894454,0.06759885933474885
MB-1031,-0.6852297031355641,2019,-0.3230384651996861,MB,2019-02-25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.39435585511331855,0.9189578116202306,1.0,6.123233995736766e-17,0.8674563547295969,0.49751328890718066,1.5509718841282178,1.4908313,0.060140628215437086
HB-1173,-0.6852297031355641,2019,-0.3230384651996861,HB,2019-06-10,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.48530196253108104,-0.8743466161445821,1.2246467991473532e-16,-1.0,0.3131070409358269,-0.9497178427914316,1.5509718841282178,1.4935654,0.05740644395030037
RC-1054,1.955063626853865,2018,1.7664986392571027,RC,2018-09-10,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16,-0.9427611433904206,-0.33346877891818705,0.1631166350173539,0.2182527,0.055136068530123816
BX-1016,-0.8648785276503087,2018,-0.784401698495835,BX,2018-08-20,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.9680771188662041,-0.2506525322587213,-0.8660254037844385,-0.5000000000000004,-0.7748840413670406,-0.6321034111873488,-1.22473861409351,-1.2797657,0.0550271110422933
