PRODUCTID,PRICE_UNITARIO,QUANTITY,DELIVERYDATE,ANIO,DIA,INGRESO_TOTAL,PRODCATEGORYID,SEMANA,DIA_SEMANA_Monday,DIA_SEMANA_Saturday,DIA_SEMANA_Sunday,DIA_SEMANA_Thursday,DIA_SEMANA_Tuesday,DIA_SEMANA_Wednesday,MES_10,MES_11,MES_12,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,SHORT_DESCR_CAT_Cruiser,SHORT_DESCR_CAT_Cyclo-cross Bike,SHORT_DESCR_CAT_Downhill Bike,SHORT_DESCR_CAT_Hybrid Bike,SHORT_DESCR_CAT_Mountain Bike,SHORT_DESCR_CAT_Racing Bike,SHORT_DESCR_CAT_Road Bike,SHORT_DESCR_CAT_eBike
MB-1034,0.3218924949016409,-0.530810989538078,2018-03-11,2018,11,-0.04663048571638167,MB,2018-03-05,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CB-1161,-0.8213272974649161,1.204008071850502,2018-03-11,2018,11,-0.5515914408192241,CB,2018-03-05,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
HB-1175,-0.5491321088062121,-1.22473861409351,2018-02-28,2018,28,-0.6929489728253749,HB,2018-02-26,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
RC-1056,0.3218924949016409,-1.22473861409351,2018-02-28,2018,28,-0.44066559166548486,RC,2018-02-26,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CC-1021,-0.41575646636344704,-0.877774801815794,2018-02-28,2018,28,-0.5641267713206061,CC,2018-02-26,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CB-1161,-0.8213272974649161,0.16311663501735396,2018-02-28,2018,28,-0.6459611930843454,CB,2018-02-26,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
HB-1175,-0.5491321088062121,0.16311663501735396,2018-03-09,2018,9,-0.4094455232469485,HB,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
RC-1055,0.04969730624293687,-0.877774801815794,2018-03-09,2018,9,-0.3619058736096317,RC,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DB-1081,-0.22249788241576718,-0.877774801815794,2018-03-09,2018,9,-0.4801637085283302,DB,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
EB-1133,0.1863392909496063,1.5509718841282178,2018-03-09,2018,9,0.9391668261658885,EB,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
BX-1015,-0.8757663351966569,1.204008071850502,2018-03-09,2018,9,-0.6225461417704431,BX,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CC-1021,-0.41575646636344704,-0.530810989538078,2018-03-09,2018,9,-0.4739354625559454,CC,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
RC-1056,0.3218924949016409,-0.877774801815794,2018-02-23,2018,23,-0.24364803869093327,RC,2018-02-19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BX-1013,-0.7941077785990457,-1.22473861409351,2018-02-23,2018,23,-0.763903673776594,BX,2018-02-19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RC-1056,0.3218924949016409,-0.18384717726036204,2018-02-23,2018,23,0.15038706725816994,RC,2018-02-19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CB-1161,-0.8213272974649161,-1.571702426371226,2018-02-23,2018,23,-0.8032441135262143,CB,2018-02-19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
EB-1131,-0.22195349203844977,1.5509718841282178,2018-02-23,2018,23,0.3478776515723963,EB,2018-02-19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
MB-1034,0.3218924949016409,-0.877774801815794,2018-02-23,2018,23,-0.24364803869093327,MB,2018-02-19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DB-1082,-0.3580510863678018,0.857044259572786,2018-02-23,2018,23,-0.046315131489931806,DB,2018-02-19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
EB-1134,1.5745347531089968,1.5509718841282178,2018-02-23,2018,23,2.9495500197837625,EB,2018-02-19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
BX-1014,-0.6035711465379529,-0.877774801815794,2018-03-05,2018,5,-0.645724677414508,BX,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EB-1134,1.5745347531089968,-1.22473861409351,2018-03-05,2018,5,-0.07785055413491807,EB,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CB-1163,-0.8817546293471484,0.857044259572786,2018-03-05,2018,5,-0.6530566631794673,CB,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
BX-1013,-0.7941077785990457,0.16311663501735396,2018-03-05,2018,5,-0.6223096261006057,BX,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MB-1034,0.3218924949016409,1.5509718841282178,2018-03-05,2018,5,1.135474832130928,MB,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
MB-1031,-0.6852297031355641,-1.22473861409351,2018-03-05,2018,5,-0.7323682511316076,MB,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
RC-1051,0.3218924949016409,1.5509718841282178,2018-03-05,2018,5,1.135474832130928,RC,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
HB-1174,-0.8322151050112643,1.204008071850502,2018-03-05,2018,5,-0.5657823810094679,HB,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
RC-1054,1.955063626853865,1.5509718841282178,2018-03-01,2018,1,3.500631530504897,RC,2018-02-26,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CC-1021,-0.41575646636344704,-0.877774801815794,2018-03-01,2018,1,-0.5641267713206061,CC,2018-02-26,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
RC-1052,1.138478060877753,1.204008071850502,2018-03-01,2018,1,2.0027777934246624,RC,2018-02-26,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BX-1011,-0.9029858540625273,1.5509718841282178,2018-03-01,2018,1,-0.6383926916495487,BX,2018-02-26,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
