PRODUCTID,PRICE_UNITARIO,QUANTITY,DELIVERYDATE,PRICE,ANIO,MES,DIA,INGRESO_TOTAL,PRODCATEGORYID,SHORT_DESCR_CAT,SEMANA,DIA_SEMANA,QUANTITY_LAG_1,QUANTITY_LAG_7,QUANTITY_ROLLING_3,QUANTITY_ROLLING_7
BX-1011,249,10,2018-03-01,249,2018,3,1,2490,BX,BMX,2018-02-26,Thursday,0.0,0.0,0.0,0.0
BX-1011,249,1,2018-03-05,249,2018,3,5,249,BX,BMX,2018-03-05,Monday,10.0,0.0,0.0,0.0
BX-1011,249,3,2018-03-15,249,2018,3,15,747,BX,BMX,2018-03-12,Thursday,1.0,0.0,4.666666666666667,0.0
BX-1011,249,6,2018-04-12,249,2018,4,12,1494,BX,BMX,2018-04-09,Thursday,3.0,0.0,3.3333333333333335,0.0
BX-1011,249,2,2018-04-29,249,2018,4,29,498,BX,BMX,2018-04-23,Sunday,6.0,0.0,3.6666666666666665,0.0
BX-1011,249,1,2018-05-05,249,2018,5,5,249,BX,BMX,2018-04-30,Saturday,2.0,0.0,3.0,0.0
BX-1011,249,8,2018-05-11,249,2018,5,11,1992,BX,BMX,2018-05-07,Friday,1.0,0.0,3.6666666666666665,4.428571428571429
BX-1011,249,1,2018-05-18,249,2018,5,18,249,BX,BMX,2018-05-14,Friday,8.0,10.0,3.3333333333333335,3.142857142857143
BX-1011,249,3,2018-05-18,249,2018,5,18,747,BX,BMX,2018-05-14,Friday,1.0,1.0,4.0,3.4285714285714284
BX-1011,249,2,2018-05-18,249,2018,5,18,498,BX,BMX,2018-05-14,Friday,3.0,3.0,2.0,3.2857142857142856
BX-1011,249,3,2018-05-18,249,2018,5,18,747,BX,BMX,2018-05-14,Friday,2.0,6.0,2.6666666666666665,2.857142857142857
BX-1011,249,6,2018-06-04,249,2018,6,4,1494,BX,BMX,2018-06-04,Monday,3.0,2.0,3.6666666666666665,3.4285714285714284
BX-1011,249,6,2018-06-22,249,2018,6,22,1494,BX,BMX,2018-06-18,Friday,6.0,1.0,5.0,4.142857142857143
BX-1011,249,3,2018-08-01,249,2018,8,1,747,BX,BMX,2018-07-30,Wednesday,6.0,8.0,5.0,3.4285714285714284
BX-1011,249,7,2018-08-08,249,2018,8,8,1743,BX,BMX,2018-08-06,Wednesday,3.0,1.0,5.333333333333333,4.285714285714286
BX-1011,249,5,2018-08-08,249,2018,8,8,1245,BX,BMX,2018-08-06,Wednesday,7.0,3.0,5.0,4.571428571428571
BX-1011,249,8,2018-08-09,249,2018,8,9,1992,BX,BMX,2018-08-06,Thursday,5.0,2.0,6.666666666666667,5.428571428571429
BX-1011,249,1,2018-08-09,249,2018,8,9,249,BX,BMX,2018-08-06,Thursday,8.0,3.0,4.666666666666667,5.142857142857143
BX-1011,249,8,2018-08-24,249,2018,8,24,1992,BX,BMX,2018-08-20,Friday,1.0,6.0,5.666666666666667,5.428571428571429
BX-1011,249,10,2018-10-04,249,2018,10,4,2490,BX,BMX,2018-10-01,Thursday,8.0,6.0,6.333333333333333,6.0
BX-1011,249,9,2018-10-07,249,2018,10,7,2241,BX,BMX,2018-10-01,Sunday,10.0,3.0,9.0,6.857142857142857
BX-1011,249,1,2018-10-28,249,2018,10,28,249,BX,BMX,2018-10-22,Sunday,9.0,7.0,6.666666666666667,6.0
BX-1011,249,7,2018-11-03,249,2018,11,3,1743,BX,BMX,2018-10-29,Saturday,1.0,5.0,5.666666666666667,6.285714285714286
BX-1011,249,2,2018-11-06,249,2018,11,6,498,BX,BMX,2018-11-05,Tuesday,7.0,8.0,3.3333333333333335,5.428571428571429
BX-1011,249,10,2018-11-10,249,2018,11,10,2490,BX,BMX,2018-11-05,Saturday,2.0,1.0,6.333333333333333,6.714285714285714
BX-1011,249,1,2018-11-24,249,2018,11,24,249,BX,BMX,2018-11-19,Saturday,10.0,8.0,4.333333333333333,5.714285714285714
BX-1011,249,2,2018-11-25,249,2018,11,25,498,BX,BMX,2018-11-19,Sunday,1.0,10.0,4.333333333333333,4.571428571428571
BX-1011,249,5,2018-12-11,249,2018,12,11,1245,BX,BMX,2018-12-10,Tuesday,2.0,9.0,2.6666666666666665,4.0
BX-1011,249,7,2018-12-14,249,2018,12,14,1743,BX,BMX,2018-12-10,Friday,5.0,1.0,4.666666666666667,4.857142857142857
BX-1011,249,2,2018-12-23,249,2018,12,23,498,BX,BMX,2018-12-17,Sunday,7.0,7.0,4.666666666666667,4.142857142857143
BX-1011,249,3,2018-12-27,249,2018,12,27,747,BX,BMX,2018-12-24,Thursday,2.0,2.0,4.0,4.285714285714286
BX-1011,249,10,2019-01-02,249,2019,1,2,2490,BX,BMX,2018-12-31,Wednesday,3.0,10.0,5.0,4.285714285714286
BX-1011,249,5,2019-01-03,249,2019,1,3,1245,BX,BMX,2018-12-31,Thursday,10.0,1.0,6.0,4.857142857142857
BX-1011,249,6,2019-01-17,249,2019,1,17,1494,BX,BMX,2019-01-14,Thursday,5.0,2.0,7.0,5.428571428571429
BX-1011,249,2,2019-01-18,249,2019,1,18,498,BX,BMX,2019-01-14,Friday,6.0,5.0,4.333333333333333,5.0
BX-1011,249,5,2019-01-22,249,2019,1,22,1245,BX,BMX,2019-01-21,Tuesday,2.0,7.0,4.333333333333333,4.714285714285714
BX-1011,249,9,2019-01-28,249,2019,1,28,2241,BX,BMX,2019-01-28,Monday,5.0,2.0,5.333333333333333,5.714285714285714
BX-1011,249,8,2019-01-28,249,2019,1,28,1992,BX,BMX,2019-01-28,Monday,9.0,3.0,7.333333333333333,6.428571428571429
BX-1011,249,4,2019-02-18,249,2019,2,18,996,BX,BMX,2019-02-18,Monday,8.0,10.0,7.0,5.571428571428571
BX-1011,249,5,2019-02-18,249,2019,2,18,1245,BX,BMX,2019-02-18,Monday,4.0,5.0,5.666666666666667,5.571428571428571
BX-1011,249,4,2019-03-05,249,2019,3,5,996,BX,BMX,2019-03-04,Tuesday,5.0,6.0,4.333333333333333,5.285714285714286
BX-1011,249,8,2019-04-07,249,2019,4,7,1992,BX,BMX,2019-04-01,Sunday,4.0,2.0,5.666666666666667,6.142857142857143
BX-1011,249,7,2019-04-13,249,2019,4,13,1743,BX,BMX,2019-04-08,Saturday,8.0,5.0,6.333333333333333,6.428571428571429
BX-1011,249,1,2019-04-13,249,2019,4,13,249,BX,BMX,2019-04-08,Saturday,7.0,9.0,5.333333333333333,5.285714285714286
BX-1011,249,6,2019-05-13,249,2019,5,13,1494,BX,BMX,2019-05-13,Monday,1.0,8.0,4.666666666666667,5.0
BX-1011,249,6,2019-05-19,249,2019,5,19,1494,BX,BMX,2019-05-13,Sunday,6.0,4.0,4.333333333333333,5.285714285714286
BX-1011,249,1,2019-06-03,249,2019,6,3,249,BX,BMX,2019-06-03,Monday,6.0,5.0,4.333333333333333,4.714285714285714
BX-1011,249,4,2019-06-08,249,2019,6,8,996,BX,BMX,2019-06-03,Saturday,1.0,4.0,3.6666666666666665,4.714285714285714
BX-1011,249,9,2019-06-10,249,2019,6,10,2241,BX,BMX,2019-06-10,Monday,4.0,8.0,4.666666666666667,4.857142857142857
BX-1011,249,5,2019-06-13,249,2019,6,13,1245,BX,BMX,2019-06-10,Thursday,9.0,7.0,6.0,4.571428571428571
BX-1011,249,5,2019-06-19,249,2019,6,19,1245,BX,BMX,2019-06-17,Wednesday,5.0,1.0,6.333333333333333,5.142857142857143
BX-1011,249,5,2019-07-09,249,2019,7,9,1245,BX,BMX,2019-07-08,Tuesday,5.0,6.0,5.0,5.0
BX-1012,399,1,2018-03-07,399,2018,3,7,399,BX,BMX,2018-03-05,Wednesday,0.0,0.0,0.0,0.0
BX-1012,399,5,2018-04-08,399,2018,4,8,1995,BX,BMX,2018-04-02,Sunday,1.0,0.0,0.0,0.0
BX-1012,399,8,2018-04-19,399,2018,4,19,3192,BX,BMX,2018-04-16,Thursday,5.0,0.0,4.666666666666667,0.0
BX-1012,399,10,2018-05-08,399,2018,5,8,3990,BX,BMX,2018-05-07,Tuesday,8.0,0.0,7.666666666666667,0.0
BX-1012,399,4,2018-06-17,399,2018,6,17,1596,BX,BMX,2018-06-11,Sunday,10.0,0.0,7.333333333333333,0.0
BX-1012,399,8,2018-06-22,399,2018,6,22,3192,BX,BMX,2018-06-18,Friday,4.0,0.0,7.333333333333333,0.0
BX-1012,399,5,2018-07-06,399,2018,7,6,1995,BX,BMX,2018-07-02,Friday,8.0,0.0,5.666666666666667,5.857142857142857
BX-1012,399,10,2018-07-08,399,2018,7,8,3990,BX,BMX,2018-07-02,Sunday,5.0,1.0,7.666666666666667,7.142857142857143
BX-1012,399,7,2018-07-09,399,2018,7,9,2793,BX,BMX,2018-07-09,Monday,10.0,5.0,7.333333333333333,7.428571428571429
BX-1012,399,8,2018-07-19,399,2018,7,19,3192,BX,BMX,2018-07-16,Thursday,7.0,8.0,8.333333333333334,7.428571428571429
BX-1012,399,4,2018-08-23,399,2018,8,23,1596,BX,BMX,2018-08-20,Thursday,8.0,10.0,6.333333333333333,6.571428571428571
BX-1012,399,7,2018-09-21,399,2018,9,21,2793,BX,BMX,2018-09-17,Friday,4.0,4.0,6.333333333333333,7.0
BX-1012,399,1,2018-09-30,399,2018,9,30,399,BX,BMX,2018-09-24,Sunday,7.0,8.0,4.0,6.0
BX-1012,399,2,2018-10-04,399,2018,10,4,798,BX,BMX,2018-10-01,Thursday,1.0,5.0,3.3333333333333335,5.571428571428571
BX-1012,399,6,2018-10-09,399,2018,10,9,2394,BX,BMX,2018-10-08,Tuesday,2.0,10.0,3.0,5.0
BX-1012,399,2,2018-11-27,399,2018,11,27,798,BX,BMX,2018-11-26,Tuesday,6.0,7.0,3.3333333333333335,4.285714285714286
BX-1012,399,1,2018-12-07,399,2018,12,7,399,BX,BMX,2018-12-03,Friday,2.0,8.0,3.0,3.2857142857142856
BX-1012,399,5,2018-12-14,399,2018,12,14,1995,BX,BMX,2018-12-10,Friday,1.0,4.0,2.6666666666666665,3.4285714285714284
BX-1012,399,9,2018-12-27,399,2018,12,27,3591,BX,BMX,2018-12-24,Thursday,5.0,7.0,5.0,3.7142857142857144
BX-1012,399,5,2019-01-08,399,2019,1,8,1995,BX,BMX,2019-01-07,Tuesday,9.0,1.0,6.333333333333333,4.285714285714286
BX-1012,399,7,2019-01-17,399,2019,1,17,2793,BX,BMX,2019-01-14,Thursday,5.0,2.0,7.0,5.0
BX-1012,399,8,2019-01-22,399,2019,1,22,3192,BX,BMX,2019-01-21,Tuesday,7.0,6.0,6.666666666666667,5.285714285714286
BX-1012,399,3,2019-02-11,399,2019,2,11,1197,BX,BMX,2019-02-11,Monday,8.0,2.0,6.0,5.428571428571429
